41008|0|11068|K.KENT-SOPALI-DERİNCE-ÜÇYOL-ŞEHİR HASTANESİ
42320|0|10954|ÇERKEŞLİ - GEBZE- FATİH D.H.- MARMARAY - SIRASÖĞÜTLER
41480|1|10939|ÖZGÜNKENT - KİRAZPINAR
41211|0|10830|EMEKEVLER - İZMİT
41028|1|10780|BATI TERMİNALİ-OTOGAR-YUVAM AKARCA
41525|0|10601|ÇAYIROVA TREN İSTASYONU - MUSTAFA PAŞA CAMİ
41623|1|10601|İZMİT-AYDINKENT-YUVACIK
41211|1|10356|İZMİT - EMEKEVLER
41422|0|10328|YAVUZ SELİM - İSTASYON
41111|0|10244|HARMANTARLA-CUMHURİYET PARKI
41623|0|10228|YUVACIK -AYDINKENT-İZMİT
41161|0|10140|SERAMİK-KÖRFEZKENT-YENİKENT-SOPALI HAST.-95 EVLER
41400|1|9981|DARICA - MARMARAY - İZMİT OTOGAR
41147|1|9944|BEKİRDERE - ÇINARLI
42501|0|9831|BAYRAMOĞLU-ATATÜRK CD.-OSMANGAZİ-DARICA-GEBZE
41089|0|9782|AKPINAR TOKİ-CUMHURİYET PARKI
42510|1|9732|OSB - KENTÖNÜ
41144|1|9708|SANAYİ-60 EVLER
41154|0|9695|ÇAMLITEPE - İZMİT
41762|1|9633|KARAMÜRSEL KENTKONUT- SAHİL- BALIKÇI BARINAĞI
41190|0|9610|YUKARI HEREKE-KÖRFEZ-İZMİT-UMUTTEPE
41074|0|9604|RADAR-GÜNEY TERMİNALİ
41074|1|9537|GÜNEY TERMİNALİ-RADAR
41510|1|9536|OSB - KENTÖNÜ
41111|1|9493|CUMHURİYET PARKI-HARMANTARLA
41560|0|9455|FATİH İST.- GEBZE OTOGAR
41055|1|9375|CUMHURİYET PARKI-HALKEVİ-GÜLTEPE-BEYHAN
41126|0|9352|K.KENT-SOPALI-DERİNCE-TREN GARI-D.KIŞLA-YAHYA KAPTAN
41510|0|9314|KENTÖNÜ - OSB
41201|1|9312|İZMİT - ARSLANBEY
41419|0|9289|İSTASYON - MEVLANA
42320|1|9198|SIRASÖĞÜTLER - MARMARAY - FATİH D.H. - GEBZE - ÇERKEŞLİ
41557|1|9182|GEBZE - ÇİÇEKÇİLER - ÇAĞDAŞKENT - SGK MD.LÜĞÜ
41718|1|9170|ÇARŞI-DİŞ HAST.-DEVLET HAST.-ŞİRİNKÖY
41133|0|9098|YENİKENT-SOPALI HAST.-GÜLTEPE-ÜÇTEPELER-UMUTTEPE 
41490|1|8998|FATİH TREN İSTASYONU - GTÜ - GEBZE - MUALLİMKÖY
41710|0|8953|DEĞİRMENDERE-GÖLCÜK K.KONUTLAR-İZMİT
41642|1|8811| İZMİT(YENİ YOL) - DÖNGEL
41133|1|8804|UMUTTEPE-ÜÇTEPELER-GÜLTEPE-SOPALI-YENİKENT
41622|0|8689|YUVACIK-TINAZTEPE-İZMİT
41088|1|8661|TREN GARI - DÜNYA BANKASI
41710|1|8639|İZMİT-GÖLCÜK K.KONUTLAR-DEĞİRMENDERE
41423|0|8525|DENİZLİ - GEBZE - TATLIKUYU KAPALI PAZAR ALANI
41013|1|8510|UMUTTEPE - ALİKAHYA
41071|0|8478|BATI TERMİNALİ-HALKEVİ-DEVLET HAST.-B.DERE-TAVŞANTEPE
41215|1|8452|İZMİT - HACIHALİM
42480|0|8436|KİRAZPINAR - MUTLUKENT
41059|1|8434|CUMHURİYET PARKI-TÜYSÜZLER
41212|0|8417|BAHÇELİEVLER - İZMİT
41430|1|8382|GÜZELLER OSB - FATİH TREN İSTASYONU
41161|1|8362|95 EVLER-SOPALI HAST.-YENİKENT-KÖRFEZKENT-SERAMİK
41435|0|8314|KBB GEBZE GARAJ - İZMİT - UMUTTEPE
41182|0|8305|AŞAĞI HEREKE-KIŞLA DÜZÜ-YUKARI HEREKE
41563|1|8268|GEBZE - ADLİYE - MUTLUKENT - ŞEKERPINAR - ÖZGÜNKENT
42510|0|8266|KENTÖNÜ - OSB
41103|0|8248|60 EVLER - KİPA AVM
41089|1|8223|CUMHURİYET PARKI-AKPINAR TOKİ
41251|1|8213|İZMİT - SUADİYE
41414|0|8210|MİMAR SİNAN - MUSTAFA PAŞA CAMİ
41677|1|8200|GÖLCÜK - ESENTEPE - HİSAREYN
