42227|41 J 4127|6547
42260|41 HO 5409|6112
29043|41 AED 783|5920
29042|41 JA 077|5484
41449|41 UP 222|5138
41445|41 UP 254|5124
41446|41 UP 223|4966
42790|41 J 4018|4435
42683|41 J 4022|4332
41448|41 UP 257|4029
29046|41 E 0259|3910
46073|41 APC 995|3614
41711|41 ARM 711|3485
41719|41 ASC 719|3483
67077|41 HO 1359|3456
41744|41 ATT 744|3440
41808|41 AUJ 808|3423
41778|41 ATT 778|3383
41758|41 ATT 758|3375
41802|41 AUJ 802|3362
41762|41 ATT 762|3362
41729|41 ATB 729|3333
41752|41 ATT 752|3327
41733|41 ATT 733|3296
41732|41 ATT 732|3295
41587|41 AIG 587|3283
41800|41 AUJ 800|3281
41804|41 AUJ 804|3239
41743|41 ATT 743|3212
41586|41 AIG 586|3210
41779|41 ATT 779|3199
41753|41 ATT 753|3172
42786|41 HO 5020|3142
41619|41 AIG 619|3133
41598|41 AIG 598|3124
41738|41 ATT 738|3108
41567|41 AIG 567|3108
41801|41 AUJ 801|3097
41573|41 AIG 573|3097
29058|41 K 9755|3094
42396|41 J 4085|3091
42744|41 HO 4547|3089
41772|41 ATT 772|3088
41603|41 AIG 603|3083
41774|41 ATT 774|3078
41594|41 AIG 594|3075
42372|41 J 4078|3073
42763|41 HO 4543|3060
41355|41 BR 355|3054
42686|41 J 4323|3050
41642|41 AKN 642|3047
41810|41 AUJ 810|3040
41334|41 BR 334|3033
41754|41 ATT 754|3021
41739|41 ATT 739|3018
41734|41 ATT 734|3018
41748|41 ATT 748|3005
46057|41 AGD 751|3002
41390|41 BR 390|3000
41385|41 BR 385|2999
41763|41 ATT 763|2994
42524|41 J 4326|2990
41760|41 ATT 760|2989
41718|41 ASC 718|2987
67021|41 HO 6418|2982
41807|41 AUJ 807|2982
41761|41 ATT 761|2980
41757|41 ATT 757|2980
41513|41 AIG 513|2971
41731|41 ATT 731|2955
41585|41 AIG 585|2953
41570|41 AIG 570|2951
41618|41 AIG 618|2950
41377|41 BR 377|2943
42155|41 J 4021|2933
41529|41 AIG 529|2929
